crop,symptoms_text,disease,label,severity,treatment,prevention,source,crop_hi,disease_hi,symptoms_hi,treatment_hi,disease_mr,symptoms_mr,treatment_mr
rice,"leaf spots shaped like eyes or spindles with grey centre and brown edge, spots join together and leaves dry up",Rice blast,rice_blast,high,Spray tricyclazole 75 WP at 0.6 g per litre at the first sign of spots; repeat after 12-15 days if new spots keep appearing. Do not apply extra urea while the disease is active.,Use blast resistant varieties recommended for your area|Treat seed with tricyclazole or carbendazim 2 g per kg before sowing|Give nitrogen in 3 split doses instead of one heavy dose|Keep the field and bunds free of grassy weeds,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in); Plantwise Knowledge Bank rice blast guide",,,,,,,
rice,"neck of the earhead turns black and breaks, grains remain empty, grey centred spots also on leaves",Rice blast,rice_blast,high,,,,,,,,,,
rice,"leaf tips turn yellow white and dry from the edges downwards in stripes with a wavy border, leaves dry in patches after rains",Bacterial leaf blight,rice_bacterial_leaf_blight,high,"No spray cures it fully. Drain the field, stop urea top dressing for 2 weeks, and spray copper oxychloride 3 g per litre to limit spread. Remove badly infected clumps.",Grow resistant varieties|Do not clip seedling leaf tips at transplanting|Use balanced fertilizer and avoid heavy urea doses|Do not let irrigation water flow from an infected field into a healthy one,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in); IRRI Rice Knowledge Bank (knowledgebank.irri.org)",,,,,,,
rice,"young transplanted seedlings wilt and die suddenly, cut stem dipped in clear water shows milky ooze",Bacterial leaf blight,rice_bacterial_leaf_blight,high,,,,,,,,,,
rice,"round patches of plants suddenly dry up and look burnt, many small brown insects sitting on the stem base just above the water",Brown planthopper,rice_brown_planthopper,high,"Drain the field for 3-4 days, then spray pymetrozine 50 WG 0.6 g per litre or dinotefuran 20 SG 0.4 g per litre aiming the nozzle at the base of the plants. Do not use synthetic pyrethroids - they make hoppers multiply faster.",Leave a 30 cm alleyway after every 8-10 rows so air and sunlight reach the base|Give nitrogen in 3 split doses|Avoid needless early sprays so spiders and mirid bugs that eat hoppers survive|Use BPH tolerant varieties where available,IRRI Rice Knowledge Bank BPH guide (knowledgebank.irri.org); TNAU Agritech Portal,,,,,,,
rice,"plants yellowing and drying in circular patches called hopper burn, clouds of small insects jump up when the plants are disturbed",Brown planthopper,rice_brown_planthopper,high,,,,,,,,,,
rice,"central shoot of young plant dries into a dead heart that pulls out easily, small bore holes in the stem",Yellow stem borer,rice_stem_borer,moderate,Apply cartap hydrochloride 4G granules 8 kg per acre or chlorantraniliprole 0.4 GR 4 kg per acre in a thin film of standing water at tillering. Pull out and destroy dead hearts.,Set pheromone traps 3-4 per acre to catch moths|Release Trichogramma egg parasitoid cards where available|Cut stubble at ground level after harvest and plough it in|Avoid staggered late planting in one area,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in)",,,,,,,
rice,"at earhead stage whole panicles turn white and stand empty, whiteheads come out easily when pulled",Yellow stem borer,rice_stem_borer,moderate,,,,,,,,,,
rice,"oval green grey water soaked patches on the leaf sheath near the water line, patches join into a snake skin pattern and climb up",Sheath blight,rice_sheath_blight,moderate,Spray hexaconazole 5 EC 2 ml per litre or validamycin 3L 2.5 ml per litre directed at the lower part of the plants; repeat after 12-15 days if new patches appear.,Do not transplant too dense|Avoid excess nitrogen|Drain the field periodically instead of keeping deep water throughout|Remove grassy weeds on bunds that carry the fungus,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in)",,,,,,,
rice,"boat shaped grey patches with brown border on the sheath at water level, upper leaves also getting patches in dense crop",Sheath blight,rice_sheath_blight,moderate,,,,,,,,,,
rice,some grains in the earhead are replaced by round velvety green or orange powder balls,False smut,rice_false_smut,low,Spray copper oxychloride 2.5 g per litre or propiconazole 25 EC 1 ml per litre at boot leaf stage before the ear comes out. Collect smut balls gently into a bag and destroy - do not shake them over the field.,Avoid very high urea doses|Sow and transplant on time|Use clean certified seed|Avoid ear-emergence coinciding with continuous drizzle where possible,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in)",,,,,,,
rice,greenish yellow dust balls on rice grains after flowering in cloudy weather,False smut,rice_false_smut,low,,,,,,,,,,
rice,"leaves folded lengthwise and stitched with silk, white transparent streaks where the green layer has been eaten, folded leaves dry up",Rice leaf folder,rice_leaf_folder,moderate,"If more than 2 damaged leaves per plant, spray chlorantraniliprole 18.5 SC 0.3 ml per litre or cartap hydrochloride 50 SP 2 g per litre.",Do not overuse urea|Keep bunds trimmed|Avoid unnecessary sprays so spiders and wasps survive|Use light traps to catch the moths,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in)",,,,,,,
rice,"small green caterpillar found inside folded paddy leaf, white patches on leaves that later dry",Rice leaf folder,rice_leaf_folder,moderate,,,,,,,,,,
rice,"oval brown spots like sesame seeds with grey centre scattered on leaves, leaves turn yellow and dry, poor weak looking crop",Brown spot,rice_brown_spot,moderate,Spray mancozeb 75 WP 2.5 g per litre or propiconazole 25 EC 1 ml per litre at first appearance. Brown spot attacks weak crops - also correct the nutrition with the recommended potash and zinc dose.,"Treat seed with carbendazim 2 g per kg - the fungus is seed borne|Apply balanced fertilizer as per soil test, the disease is worst in poor deficient soils|Avoid water stress|Use resistant varieties in disease prone areas","TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in)",,,,,,,
rice,"yellow leaves and many round brown spots on rice leaves, spots have dark border and lighter centre, grains also getting brown marks",Brown spot,rice_brown_spot,moderate,,,,,,,,,,
rice,"small blue black spiny beetles sitting on leaves, white parallel streaks and window like scraped patches, leaf tips drying",Rice hispa,rice_hispa,moderate,"Clip and destroy leaf tips carrying eggs and grubs. If beetles are widespread, spray quinalphos 25 EC 2 ml per litre.",Avoid excess nitrogen|In hispa prone areas clip seedling leaf tips before transplanting|Keep field edges free of grasses,"TNAU Agritech Portal, Crop Protection: Rice (agritech.tnau.ac.in)",,,,,,,
rice,"holes in leaves and small insects visible on the paddy leaves, leaves look scraped and whitish",Rice hispa,rice_hispa,moderate,,,,,,,,,,
wheat,"yellow orange powder in long stripes along the veins of the leaf, powder sticks to the finger when rubbed, spreading in cold cloudy weather",Yellow rust (stripe rust),wheat_yellow_rust,high,"Spray propiconazole 25 EC 1 ml per litre (about 200 ml per acre in 200 litres of water) as soon as the first pustules are seen, covering the whole field, not just patches; repeat after 15 days if it keeps spreading.",Grow the current rust resistant varieties recommended for your zone|Sow on time|Avoid excess nitrogen|Scout the crop weekly in cool humid weeks of January and February,ICAR yellow rust advisory (icar.org.in); ICAR-IIWBR Wheat Crop Health Newsletter (iiwbr.org.in),,,,,,,
wheat,wheat leaves show lines of yellow dust and the field looks yellowish from a distance in january february,Yellow rust (stripe rust),wheat_yellow_rust,high,,,,,,,,,,
wheat,"round orange brown powdery dots scattered all over the leaf, not in lines, appearing in the warmer weeks of late season",Brown rust (leaf rust),wheat_brown_rust,moderate,Spray propiconazole 25 EC 1 ml per litre or tebuconazole 25.9 EC 1 ml per litre at first appearance; one more spray after 15 days if pustules increase.,Grow resistant varieties|Sow on time so grain filling escapes hot humid spells|Destroy volunteer wheat plants around the field,ICAR-IIWBR Wheat Crop Health Newsletter (iiwbr.org.in); TNAU Agritech Portal,,,,,,,
wheat,scattered round rusty brown dots on wheat leaves that rub off as orange powder,Brown rust (leaf rust),wheat_brown_rust,moderate,,,,,,,,,,
wheat,"earheads come out as loose black powder instead of grain, the black dust blows away leaving a bare stalk",Loose smut,wheat_loose_smut,moderate,"An infected plant cannot be saved. Cover smutted ears with a bag, pull them out and burn them so the powder does not spread. The fungus travels inside seed - next season treat seed with carboxin + thiram 75 WS 2 g per kg or tebuconazole 2 DS 1 g per kg.",Always sow certified treated seed|Never save seed from a field that had loose smut|Solar heat treatment (soak seed 4 hours in water then dry in hot sun) also disinfects small seed lots,PAU Package of Practices for Rabi crops (pau.edu); TNAU Agritech Portal,,,,,,,
wheat,"black powdery heads in wheat at earing, only the central stalk remains after wind",Loose smut,wheat_loose_smut,moderate,,,,,,,,,,
wheat,"white grey powdery patches on leaves and stem which later turn dirty grey, more in dense crop and cool cloudy weather",Powdery mildew,wheat_powdery_mildew,moderate,Spray wettable sulphur 80 WP 2.5 g per litre or propiconazole 25 EC 1 ml per litre when the first patches appear.,Avoid very dense sowing|Avoid excess nitrogen|Grow resistant varieties in mildew prone hill and foothill areas,"TNAU Agritech Portal, Crop Protection: Wheat (agritech.tnau.ac.in)",,,,,,,
wheat,flour like white coating on wheat leaves that can be rubbed off,Powdery mildew,wheat_powdery_mildew,moderate,,,,,,,,,,
wheat,"groups of small soft green insects on earheads and upper leaves, sticky honeydew and black sooty layer on leaves",Wheat aphid,wheat_aphid,moderate,"First rely on ladybird beetles which eat aphids. Spray only if many plants have 10-15 aphids per earhead: imidacloprid 17.8 SL 0.25 ml per litre or thiamethoxam 25 WG 0.2 g per litre, in the evening.",Avoid very late sowing|Do not spray without need - natural enemies usually control aphids|Yellow sticky traps at the field edge help you monitor build up,PAU Package of Practices for Rabi crops (pau.edu); TNAU Agritech Portal,,,,,,,
wheat,"black and green small insects sucking on wheat ears, hands get sticky when touching the crop",Wheat aphid,wheat_aphid,moderate,,,,,,,,,,
wheat,"plants dry up in patches and come out easily when pulled, roots eaten away, white ants seen in the soil, worse in sandy unirrigated fields",Termite damage,wheat_termite,moderate,Irrigate immediately - termites move away from wet soil. Then apply chlorpyriphos 20 EC 1 litre per acre mixed with irrigation water through the water channel.,"In termite prone fields treat seed with chlorpyriphos 20 EC 4 ml per kg before sowing|Use only well rotted FYM, never raw dung|Remove stubble and crop residue that attracts termites",PAU Package of Practices for Rabi crops (pau.edu); TNAU Agritech Portal,,,,,,,
wheat,"white ants eating wheat roots, drying plants scattered in the field that pull out easily",Termite damage,wheat_termite,moderate,,,,,,,,,,
cotton,"flowers do not open properly and look like a rosette, pink caterpillars inside green bolls, damaged seeds and stained lint",Pink bollworm,cotton_pink_bollworm,high,"Set 8 pheromone traps per acre; when catches cross about 8 moths per trap for 3 nights, spray profenofos 50 EC 2 ml per litre or emamectin benzoate 5 SG 0.4 g per litre. Pick and destroy rosette flowers and infested bolls every week.",End the crop by December-January and never keep it as ratoon|Destroy stalks and unopened bolls after the last picking|Use pheromone mating disruption ropes (PBKnot/SPLAT) where your department supplies them|Start trap monitoring from flowering stage,"ICAR-CICR pink bollworm advisories (cicr.org.in); mating disruption field reports, Down To Earth / Krishak Jagat 2022-23",,,,,,,
cotton,"bolls open badly with blackened spoiled lint late in the season, small pink worms found inside bolls",Pink bollworm,cotton_pink_bollworm,high,,,,,,,,,,
cotton,"tiny white flies rise in a cloud when the plant is shaken, leaves sticky with black sooty coating and turning yellow",Whitefly,cotton_whitefly,high,"Spray neem oil 5 ml per litre with a little soap, or diafenthiuron 50 WP 1 g per litre, in the evening covering the underside of leaves. Avoid synthetic pyrethroids which flare up whitefly.",Put up yellow sticky traps 4-6 per acre|Remove alternate host weeds like kanghi (Abutilon) around the field|Avoid excess nitrogen|Sow recommended varieties at the recommended time,ICAR-CICR whitefly advisory for north zone cotton (cicr.org.in); TNAU Agritech Portal,,,,,,,
cotton,"cotton leaves yellow and sticky with small white insects underneath, black mould on leaf surface",Whitefly,cotton_whitefly,high,,,,,,,,,,
cotton,"leaves curl upward or downward with thick swollen veins, small cup like leafy growths on the underside, plant stunted",Cotton leaf curl virus,cotton_leaf_curl_virus,high,"No spray can cure the virus. Pull out and bury badly affected plants early, and control the whitefly that spreads it (neem oil 5 ml per litre or diafenthiuron 50 WP 1 g per litre).",Grow leaf curl tolerant varieties recommended in north India|Control whitefly from the seedling stage|Remove weed hosts in and around the field|Avoid sowing next to an already infected field,ICAR-CICR cotton leaf curl disease advisories (cicr.org.in),,,,,,,
cotton,"cotton plant small with curled thick leaves and vein swelling, whiteflies present, few bolls",Cotton leaf curl virus,cotton_leaf_curl_virus,high,,,,,,,,,,
